symbol,model,roc_auc,accuracy,precision,recall,f1,n_obs
LII,logreg,0.5357142857142857,0.5084745762711864,0.4883720930232558,0.75,0.5915492957746479,59
LKQ,logreg,0.4533783783783784,0.4253731343283582,0.4716981132075472,0.33783783783783783,0.3937007874015748,134
LLY,logreg,0.4838709677419355,0.4897959183673469,0.44776119402985076,0.3225806451612903,0.375,196
LMT,logreg,0.42354596622889307,0.4625,0.475,0.4634146341463415,0.4691358024691358,160
LOW,logreg,0.5251042535446205,0.4977168949771689,0.48,0.11009174311926606,0.1791044776119403,219
LRCX,logreg,0.6193853427895981,0.5978260869565217,0.58,0.6444444444444445,0.6105263157894737,92
LULU,logreg,0.5105263157894737,0.5507246376811594,0.5208333333333334,0.2631578947368421,0.34965034965034963,207
LUV,logreg,0.5419502811482687,0.5321888412017167,0.5,0.045871559633027525,0.08403361344537816,233
LVS,logreg,0.5208248097537027,0.545045045045045,0.5,0.04950495049504951,0.09009009009009009,222
LW,logreg,0.5039281705948373,0.5169082125603864,0.8333333333333334,0.09259259259259259,0.16666666666666666,207
